10,0.606,CFAdivSFA,Age,0.958545737127599+-0.572151168644572/Age-0.0612374477525388*Age
17,0.476,CFAdivSFA,Age,0.452309118683889*Age+0.0307265255786916*Temperature-0.970143351829855-0.00255375223483564*Temperature*Age^2
21,0.398,CFAdivSFA,Age,0.917534811125633*Age+0.0559472599965835*Temperature-1.71284037113918-0.0158857472004955*Temperature*Age-0.0750060590273263*Age^2
1,1.000,CFAdivUFA,Age,Age
3,0.899,CFAdivUFA,Age,1.17653483168069*Age
5,0.817,CFAdivUFA,Age,0.392178277226896*Age^2
7,0.748,CFAdivUFA,Age,0.083007033316709*Temperature*Age-2.37336552096432
9,0.614,CFAdivUFA,Age,0.0177319582766296*Temperature*Age^2-0.377723250185499
11,0.495,CFAdivUFA,Age,0.321370983985043*Temperature+0.557483148117652*Age^2-9.98458058940489
13,0.266,CFAdivUFA,Age,0.503067355283869+0.000152387244996395*Temperature^2*Age^3
19,0.251,CFAdivUFA,Age,0.717519461398427+0.000158631965232974*Temperature^2*Age^3-0.00467792933057128*Temperature*Age
23,0.183,CFAdivUFA,Age,Age+0.00194528101327856*Temperature*Age^4-0.13955026881604-0.147542819961208*Age^3
4,0.325,UFAdivSFA,Age,0.519608509857043/Age
5,0.312,UFAdivSFA,Age,0.603324179021869-0.135626185563546*Age
7,0.225,UFAdivSFA,Age,0.556911778794818-0.00414622461025734*Temperature*Age
9,0.182,UFAdivSFA,Age,0.792839868359119-0.00683502136219397*Temperature-0.133072937752861*Age
15,0.134,UFAdivSFA,Age,0.869257722677416+0.00836040869963927*Age^2-0.00711224686088519*Temperature-0.182655592550779*Age
17,0.107,UFAdivSFA,Age,1.09104887117184+0.000450302428620221*Temperature*Age^2-0.0133392412457604*Temperature-0.211620124169541*Age
5,0.604,Anisotropie,Age,0.134519084290421+0.00792654780785016*Age
11,0.600,Anisotropie,Age,0.0868306010442405+0.0018296040344999*Temperature+0.00203379265593711*Age^2
15,0.370,Anisotropie,Age,0.0930518264602905*Age+0.0114707551482198*Temperature-0.210016787224056-0.00277956709092382*Temperature*Age
17,0.356,Anisotropie,Age,0.0918291965717099*Age+0.000214468742168183*Temperature^2-0.0590611182756579-0.0027503526867782*Temperature*Age
25,0.350,Anisotropie,Age,0.00803003715944603+0.00514298869048407*Temperature+0.018008741044455*Age^2-0.0322707591271007*Age-7.87291387797542e-5*Temperature*Age^3
29,0.345,Anisotropie,Age,0.0450788513467138*Age+0.0107842074941182*Temperature+0.0188880179059835*Age^2-0.161756801596624-0.00263585129972398*Temperature*Age-0.00243943783623963*Age^3
31,0.333,Anisotropie,Age,0.00694631893018919*Temperature+0.0373182888126607*Age^2-0.0343937728278972-0.0498266916221057*Age-0.00316628818270041*Age^3-0.000410706480272984*Temperature*Age^2
33,0.326,Anisotropie,Age,0.0212912331352554+0.00476811923388609*Temperature+0.0184322011346491*Age^2+5.68852885500641e-5*Temperature*Age^2-0.0377347894323595*Age-8.46992532724161e-5*Temperature*Age^3
37,0.305,Anisotropie,Age,0.172996162693343+0.00094034432473458*Temperature*Age+0.00477285722577781*Age^3+0.000862410129536092*Temperature*Age^2-0.0784541816619225*Age-0.00027158349237145*Temperature*Age^3
8,0.622,tpH07centri,Age,339.58520563556+745.832180380227*Anisotropie/Age
11,0.671,UFCcentri,Age,481092828416.438-63034247615.4164*Age-1317823551342.09*UFAdivSFA^2
3,0.910,tpH07scentri,Age,37.0027231816875-Age
6,0.531,tpH07scentri,Age,30.4314208605674+10.5361800344856/Age
10,0.527,tpH07scentri,Age,28.2187584334828+0.279806026491558*CFAdivUFA+12.6839877567067/Age
17,0.097,tpH07spe2cong,Age,6.73767717102917e-9+0.0505806078172855*SFA*tpH07spe2centri-2.62511013665834e-10*Age-95721131.7925812*tpH07spe2centri^2
12,0.441,dtpH07cong,Age,12.7041672138762+(4.10209415931609*UFA-2.05104707965805*SFA)/Age
9,0.986,dUFCcong,Age,55.1414148433596*CFAdivSFA+10.3255002304722*Age+0.514739164268346*SFA+0.34241964731125*Age*CFAdivSFA*SFA-28.4770239544387-0.181672646212357*Age*SFA-0.970189000715207*CFAdivSFA*SFA-19.4616758270681*Age*CFAdivSFA
21,0.541,dtpH07scong,Age,3.59337285132426*Age+0.0865478989931527*Temperature+3.63751354994833*Anisotropie*UFA+0.00166438274722192*Temperature^2-19.0439365553419
9,0.637,dtpH07spe2cong,Age,363678.677056707*UFAdivSFA*Age^2-1329697.28026716
25,0.558,dtpH07spe2cong,Age,947652.327830159*Age*UFAdivSFA+589906.851434628*UFAdivSFA*CFAdivUFA-604238.765059879-157352.301592593*Anisotropie*CFA-1230.26774908976*UFA^2
7,0.590,UFClyo,Age,15643954583.1687-181207801.885369*Age*UFA
7,0.400,TpH07lyo,Age,648.259404773546-63.8816778029957*Age*dUFCcong
9,0.319,dtpH07lyo,Age,571.37624269003*UFAdivSFA+40.9458652019573*Age-136.435846255982
7,0.351,dtpH07slyo,Age,26.2586711001717-0.142185080619009*Temperature*Age
11,0.636,dtpH07spe2lyo,Age,1.75003906081362e-9*Age*CFA-1.9800132802495e-8-6.60872332671305e-8*Age
9,0.452,dtpH07des,Age,199.03136652013-0.0381165804908603*Age*Temperature^2
11,0.413,dtpH07des,Age,194.54855031673-0.223253346559525*Age*Anisotropie*Temperature^2
9,0.344,dtpH07sdes,Age,22.9845231595489-0.759855439771978*Temperature*Age*Anisotropie
7,0.426,tpH07ssto3,Age,240.250136720422-0.0885812811886947*Age*tpH07centri
5,0.584,dUFCsto3,Age,3.55841957028638-0.526501024806957*Age
7,0.531,dUFCsto3,Age,3.42479448270132-0.0083074154755508*Age*SFA
9,0.486,dUFCsto3,Age,3.30542601824592-0.00013092921722678*Age*SFA^2
5,0.402,dtpH07sto3,Age,1028.60944065619-150.793626060314*Age
5,0.294,dtpH07ssto3,Age,163.233277080732-25.6046486658342*Age
5,0.343,dtpH07stot,Age,190.241055074952-28.9809229582723*Age
7,0.316,dtpH07stot,Age,185.282162566038-0.478872307508557*Age*SFA
9,0.275,dtpH07stot,Age,265.651647287704-2.01911939477103*Temperature-36.3621426682017*Age
4,0.799,UFA,Age,33.5853412858553/Age
7,0.393,UFA,Age,24.3982364416865 - 0.172765640882116*Temperature*Age
9,0.195,UFA,Age,40.4144415872545 - 0.407774716675039*Temperature - 6.14781695981732*Age
13,0.240,SFA,Age,63.8665814884792 + 0.0244197875019957*Temperature*Age^2 - 401.425248142994*AMACBIOSYNTH
15,0.606,CFAdivSFA,Age,0.127687477892332 + 26.0725224498941*AMACBIOSYNTH + 0.0974336604908879*Age*AMACBIOSYNTH - 16.1607620960131*PURINES
1,1.000,CFAdivUFA,Age,Age
3,0.891,CFAdivUFA,Age,0.863625480334941 + Age
7,0.326,CFAdivUFA,Age,0.12647357722851*Temperature*Age - 6.23534552779438
11,0.192,CFAdivUFA,Age,1.88333311505231*Temperature*FATTYACIDMETABO*Age^2 - 2.83248122879736
13,0.143,CFAdivUFA,Age,904.359932864236*FATTYACIDMETABO + 0.0255621885601239*Temperature*Age^2 - 15.0506861348872
15,0.098,CFAdivUFA,Age,47859.2538161024*CELLPROCESSES*FATTYACIDMETABO + 0.0249318244952807*Temperature*Age^2 - 18.6071697044555
21,0.098,CFAdivUFA,Age,18703096.5545271*FATTYACIDMETABO*REGULFUN*CELLPROCESSES^2 + 0.789386875810291*Temperature*PURINES*Age^2 - 11.7806196705899
7,0.386,UFAdivSFA,Age,0.460656693936134 - 0.00333801658500451*Temperature*Age
9,0.166,UFAdivSFA,Age,0.772693879207662 - 0.00765464278532187*Temperature - 0.121458669049365*Age
25,0.309,Anisotropie,Age,0.14751114930914 + 7.27584132737736*AMACBIOSYNTH + 1.07440721401943*BIOSYNTH_CARRIERS + 0.0159207398935076*Age + 0.00203849347452191*Temperature - 0.0144716072739041*ENMETABO - 2.77031164851122*TRANSPORTPROTEINS
15,0.743,AMACBIOSYNTH,Age,0.0202302887981018 + 0.00396732754862978*Age + 0.000569052908629298*Temperature - 0.00016361794332602*Temperature*Age
23,0.724,AMACBIOSYNTH,Age,0.0288607619891455 + 0.000180333694264311*Temperature*Age + 0.000115535734811206*Age^3 - 5.07874649264851e-5*Temperature*Age^2
24,0.716,AMACBIOSYNTH,Age,0.482573901521289 + -321.308515767396/(39.5701625094395*Temperature + Temperature*Age + Temperature^2) - 0.00299775271978755*Age - 0.00972240079607085*Temperature
