date,s,ac,ac_m,s_1,ac_1,ac_m_1,var_s,var_ac,var_ac_m,ins,pl,hr,t
date,chim,chim,chim,chimt1,chimt1,chimt1,diffchim,diffchim,diffchim,meteo,meteo,meteo,meteo
36787.00,180.5,7.17,6.6,187.4,6.5,5.76,6.9,-0.67,-0.84,31.2,39,77,119.2
36794.00,187.4,6.5,5.76,201.1,5.83,4.83,13.7,-0.67,-0.93,38.7,38,78,110.45
36801.00,201.1,5.83,4.83,213.6,5.86,4.37,12.5,0.03,-0.46,30.4,6.5,77.86,93.4
36794.00,206.8,5.57,4.32,219.5,5.16,3.65,12.7,-0.41,-0.67,38.7,38,78,110.45
36801.00,219.5,5.16,3.65,218.3,5.12,3.26,-1.2,-0.04,-0.39,30.4,6.5,77.86,93.4
37131.00,129.5,11.5,11,165,8.7,7.5,35.5,-2.8,-3.5,43.3,17.5,68,121.7
37131.00,115,14.7,14.7,136,11.3,11.7,21,-3.4,-3,43.3,17.5,68,121.7
37138.00,136,11.3,11.7,190,8.4,7.7,54,-2.9,-4,48.2,1.5,67.64,104.9
37131.00,115.4,12.7,12.4,151,9.1,8.4,35.6,-3.6,-4,43.3,17.5,68,121.7
37138.00,151,9.1,8.4,200,6.6,5.2,49,-2.5,-3.2,48.2,1.5,67.64,104.9
37131.00,117.6,12.3,12.4,156,9.3,9,38.4,-3,-3.4,43.3,17.5,68,121.7
37138.00,156,9.3,9,193,7.5,6.1,37,-1.8,-2.9,48.2,1.5,67.64,104.9
42626.00,133.8,12.64,14.39,157,9.41,9.42,23.2,-3.23,-4.97,51,24.4,77.29,128.8
42633.00,157,9.41,9.42,187.4,8.38,7.83,30.4,-1.03,-1.59,65,0.6,70.86,117.25
42640.00,187.4,8.38,7.83,191.9,7.5,6.22,4.5,-0.88,-1.61,59,8.6,77.5,108.15
42647.00,191.9,7.5,6.22,205.7,7.15,6.24,13.8,-0.35,0.02,57,0,72.71,83.9
42654.00,205.7,7.15,6.24,210.3,6.91,6.11,4.6,-0.24,-0.13,43,3.6,80,77.6
42626.00,160.4,7.99,8.11,171.5,6.62,6.38,11.1,-1.37,-1.73,51.5,23.2,75,131.45
42633.00,171.5,6.62,6.38,205.7,5.78,4.69,34.2,-0.84,-1.69,62.5,0.4,68.43,129.4
42640.00,205.7,5.78,4.69,212.5,5.29,4.08,6.8,-0.49,-0.61,55.5,5.8,75.71,116.05
42647.00,212.5,5.29,4.08,224.1,5.19,4.15,11.6,-0.1,0.07,53.25,0.2,71.5,91.75
42627.00,169,10.35,11.4,172,8.35,7.5,3,-2,-3.9,21.3,18.7,79.64,116.5
42634.00,172,8.35,7.5,191,7.65,7,19,-0.7,-0.5,56.4,0,65.43,121.25
42641.00,191,7.65,7,209,6.7,4.7,18,-0.95,-2.3,41.7,12.7,74.5,106.45
42648.00,209,6.7,4.7,220,6.75,6.4,11,0.05,1.7,45.3,0,71.86,79.7
42655.00,220,6.75,6.4,228,6.25,5.4,8,-0.5,-1,31.2,2.8,78.86,81.15
42627.00,156,9.35,9.9,165,7.6,7.1,9,-1.75,-2.8,21.3,18.7,79.64,116.5
42634.00,165,7.6,7.1,183,6.85,5.9,18,-0.75,-1.2,56.4,0,65.43,121.25
42641.00,183,6.85,5.9,198,6.55,4.6,15,-0.3,-1.3,41.7,12.7,74.5,106.45
42648.00,198,6.55,4.6,218,6,4.5,20,-0.55,-0.1,45.3,0,71.86,79.7
42655.00,218,6,4.5,211,6,5,-7,0,0.5,31.2,2.8,78.86,81.15
42626.00,160.4,7.99,6.93,178.3,6.08,4.92,17.9,-1.91,-2.01,55,21.8,77.64,122.4
42633.00,178.3,6.08,4.92,207.9,6.17,4.5,29.6,0.09,-0.42,64,0.4,71.21,113.25
42640.00,207.9,6.17,4.5,210.3,5.64,3.68,2.4,-0.53,-0.82,55,4.4,78.71,104.15
42647.00,210.3,5.64,3.68,218.3,5.59,3.93,8,-0.05,0.25,57,0,71.5,83.1
