11,0.636,dtpH07spe2lyo,1.75003906081362e-9*Age*CFA-1.9800132802495e-8-6.60872332671305e-8*Age
15,0.546,dtpH07spe2lyo,6.33401315519669e-8+6.2929309846251e-9*CFAdivUFA+9.27447167448279e-9*CFAdivSFA*CFA-9.46721397609155e-9*CFA
27,0.485,dtpH07spe2lyo,4.71634909527548e-6*Anisotropie+3.06335713537611e-7*CFAdivSFA+9.13361813575774e-9*Anisotropie*SFA+1.12734021760938e-6*CFAdivSFA^2-6.01711536929305e-7-9.02810666436116e-6*CFAdivSFA*Anisotropie
31,0.480,dtpH07spe2lyo,4.74867731323926e-6*Anisotropie+3.19572927265817e-7*CFAdivSFA+2.1031055753329e-6*Anisotropie^2+1.10304051637374e-6*CFAdivSFA^2-5.45159995380942e-7-4.57790476192074e-8*UFAdivSFA-9.2813011138396e-6*CFAdivSFA*Anisotropie
42,0.395,dtpH07spe2lyo,7.67121116609111e-7+5.87870916751006e-8*CFAdivUFA+1.09761756916611e-9*CFA^2+3.43219008065821e-16*CFAdivSFA*CFA^2/(8.49573050116874e-8+1.4858672928638e-7*CFAdivUFA)-3.88841273393081e-8*CFA-2.18735937828842e-6*CFAdivSFA-8.58318442869028e-11*CFA*CFAdivUFA^2
1,1.000,dUFCdes,CFAdivSFA
10,0.754,dUFCdes,0.865322613099836+-1.58812385313703/UFA-0.0149634657931471*UFA
11,0.753,dUFCdes,1.93648465571278-CFAdivSFA-0.0953350066417255*CFAdivUFA-2.42005382725811*UFAdivSFA
19,0.718,dUFCdes,0.112369261840868*CFA-1.12811862198614-4.85393173118144*CFAdivSFA^2-0.298421865075334*CFAdivUFA*CFAdivSFA^2
31,0.679,dUFCdes,0.378953447405303+0.0245320629411178*UFA*CFA+45.441319200403*UFAdivSFA^2-0.0594020294554484*Anisotropie*CFA-0.875298926181513*UFAdivSFA*UFA-1.26382800704568*UFAdivSFA*CFA
1,1.000,dtpH07des,120.333333333333
3,0.820,dtpH07des,109.229060814329+UFA
4,0.806,dtpH07des,19.653238961575/Anisotropie
5,0.623,dtpH07des,167.740157613764-10.8825459941399*CFAdivUFA
9,0.452,dtpH07des,199.03136652013-0.0381165804908603*Age*Temperature^2
11,0.413,dtpH07des,194.54855031673-0.223253346559525*Age*Anisotropie*Temperature^2
1,1.000,dtpH07sdes,14.4116567480876
3,0.501,dtpH07sdes,17.7617387114744-CFAdivUFA
9,0.344,dtpH07sdes,22.9845231595489-0.759855439771978*Temperature*Age*Anisotropie
1,1.000,dtpH07spe2des,-2828072.32197387
3,1.000,dtpH07spe2des,SFA-3070722.78156452
5,0.940,dtpH07spe2des,201907.829934607*SFA-14309616.9354449
1,1.000,UFCsto3,654015680.141606
4,0.689,UFCsto3,30969303690.1215/dtpH07lyo
5,0.685,UFCsto3,1116763708.64127-68018220.522062*dtpH07sdes
6,0.667,UFCsto3,-824.554510265355/(dtpH07lyo*dtpH07spe2lyo)
7,0.256,UFCsto3,0.00826356276614268*UFClyo*CFAdivUFA-96440080.7336115
1,1.000,tpH07sto3,1128.5
3,0.349,tpH07sto3,22.4242820764574*tpH07slyo
5,0.294,tpH07sto3,28.072123385257*tpH07slyo-308.879515487953
7,0.273,tpH07sto3,595.456771881135+1.26213866168634*Temperature*dtpH07slyo
1,1.000,tpH07ssto3,dtpH07des
3,0.826,tpH07ssto3,2.84105887248743*tpH07slyo
7,0.426,tpH07ssto3,240.250136720422-0.0885812811886947*Age*tpH07centri
1,1.000,tpH07spe2sto3,1.14053433268358e-5
3,0.529,tpH07spe2sto3,1.29319685340747e-6*UFA
1,1.000,dUFCsto3,2.06666666666667
3,0.829,dUFCsto3,1.79943049065421+UFAdivSFA
5,0.584,dUFCsto3,3.55841957028638-0.526501024806957*Age
7,0.531,dUFCsto3,3.42479448270132-0.0083074154755508*Age*SFA
9,0.486,dUFCsto3,3.30542601824592-0.00013092921722678*Age*SFA^2
1,1.000,dtpH07sto3,625.583333333333
3,0.998,dtpH07sto3,633.349934186378+UFA
4,0.551,dtpH07sto3,16513.4778219798/CFA
5,0.402,dtpH07sto3,1028.60944065619-150.793626060314*Age
1,1.000,dtpH07ssto3,85.1461584030385
3,0.710,dtpH07ssto3,70.982099795732+UFA
5,0.294,dtpH07ssto3,163.233277080732-25.6046486658342*Age
1,1.000,dtpH07spe2sto3,-1.015625e-5
3,0.533,dtpH07spe2sto3,-7.14278383129952e-5*UFAdivSFA
1,1.000,dUFCtot,2.95041998746119
4,0.861,dUFCtot,174.402349139717/SFA
1,1.000,dtpH07tot,738.25
3,0.960,dtpH07tot,704.197779490657+UFA
4,0.292,dtpH07tot,21448.106026671/CFA
7,0.259,dtpH07tot,426.503608748101+CFAdivSFA+20.651963798828*UFA
1,1.000,dtpH07stot,97.0656641568028
3,0.743,dtpH07stot,88.2140915943872+UFA
4,0.658,dtpH07stot,56.4348673458014/CFAdivSFA
5,0.343,dtpH07stot,190.241055074952-28.9809229582723*Age
7,0.316,dtpH07stot,185.282162566038-0.478872307508557*Age*SFA
9,0.275,dtpH07stot,265.651647287704-2.01911939477103*Temperature-36.3621426682017*Age
25,0.260,dtpH07stot,69.387526214499+1.20041143342356*CFAdivUFA+-96.4151102065139/CFAdivUFA^2+8.00612618766854*Temperature/CFAdivUFA-0.0511166124159313*Temperature^2
1,1.000,dtpH07spe2tot,-1.19818992105859e-5
3,0.654,dtpH07spe2tot,-8.23540047457686e-5*UFAdivSFA
